COUNTRY,REGION,E-WASTE GENERATED (MILLION KG),E-WASTE GENERATED (KG/CAPITA),E-WASTE DOCUMENTED AS FORMALLY COLLECTED AND RECYCLED (MILLION KG),"REFERENCE FOR
E-WASTE COLLECTION AND RECYCLING DATA","NATIONAL E-WASTE
LEGISLATION/ POLICY OR REGULATION
IN PLACE",EPRFOR E-WASTE,COLLECTION TARGET IN PLACE,RECYCLING TARGETS IN PLACE
Netherlands,Europe,387,"22,1","228,5","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
New Zealand,Oceania,101,"19,6",N/A,,No,No,No,No
Nicaragua,Americas,21,3,"0,1","Communication with Ministry of Environment in the context of this report: M. Wagner, C.P. Balde, V. Lucia, I. C Nnorom, R. Kuehr,
G. lattoni. Regional E-waste Monitor for Latin America: Results for the 13 countries participating in project UNIDO-GEF 5554, Bonn (Germany), 2022. https://www.scycle.info/regional-e-waste-moni- tor-latin-america-2021/",No,No,No,No
Niger,Africa,14,"0,5",N/A,,No,No,No,No
Nigeria,Africa,497,"2,3",N/A,,Yes,Yes,Yes,No
Norway,Europe,145,"26,8","107,2","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
Oman,Asia,71,"15,7",N/A,,No,No,No,No
Pakistan,Asia,559,"2,4",N/A,,No,No,No,No
Palau,Oceania,0,"12,2",N/A,,No,No,No,No
Panama,Americas,54,"12,4","0,1","Communication  with Ministry of Health in the context of this report: M. Wagner, C.P. Balde, V. Luda, I. C Nnorom, R. Kuehr, G. lattoni. Regional E-waste Monitor for Latin America: Results for the 13 countries participating in project UNIDO-GEF 5554, Bonn
(Germany), 2022. https://www.scycle.info/regional-e-waste-moni- tor-latin-america-2021/",No,No,No,No
Papua New Guinea,Oceania,13,"1,3",N/A,,No,No,No,No
Paraguay,Americas,57,"8,4",N/A,,No,No,No,No
Peru,Americas,221,"6,5","3,4","Communication  with Ministry of Environment in the context of this report M. Wagner, C.P. Balde, V. Luda, I. C Nnorom, R. Kuehr,
G. lattoni. Regional E-waste Monitor for Latin America: Results for the 13 countries participating in project UNIDO-GEF 5554, Bonn (Germany), 2022. https://www.scycle.info/regional-e-waste-moni- tor-latin-america-2021/",Yes,Yes,Yes,No
Philippines,Asia,537,"4,7",N/A,,No,No,No,No
Poland,Europe,517,"13,5","417,8","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union.
https://ec.europa.eu/eurostat/data browser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
Portugal,Europe,183,"17,8","60,3","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union.
https://ec.europa.eu/eurostat/data browser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
Puerto Rico,Americas,65,20,N/A,,No,No,No,No
Qatar,Asia,44,"16,2","0,2","Communication with Ministry of Municipality and Environment in the context of this report: Ministry of Municipality and Environment, 2019.",No,No,No,No
Republic of Korea,Asia,930,"17,9","443,1","OECD Statistics, 2022. Waste from electrical and electronic equipment (WEEE -  e-waste).
https://stats.oecd.org/lndex.aspx?DataSetCode=EWASTE",Yes,Yes,No,No
